Year,Player,Regular Season ERA,Regular Season Win/Loss,Post-season ERA,Post-season Win/Loss
1892,staleha01,3.0,0.69,3.03,1.0
1903,youngcy01,1.85,0.76,2.08,0.67
1903,leevesa01,5.4,0.78,2.06,0.0
1903,dinnebi01,2.06,0.62,2.26,0.75
1903,phillde01,3.07,0.74,2.43,0.6
1903,hugheto01,9.0,0.74,2.57,0.0
1903,kennebr01,5.14,0.6,3.45,0.0
1905,mathech01,0.0,0.78,1.28,1.0
1905,coaklan01,3.0,0.69,1.84,0.0
1905,planked01,1.59,0.67,2.26,0.0
1905,bendech01,1.06,0.62,2.83,0.5
1905,mcginjo01,0.0,0.58,2.87,0.5
1906,brownmo01,3.66,0.81,1.04,0.33
1906,whitedo01,1.8,0.75,1.52,0.5
1906,pfiesja01,6.1,0.71,1.51,0.0
1906,reulbed01,2.45,0.83,1.65,1.0
1906,walshed01,0.6,0.57,1.88,1.0
1906,altroni01,1.0,0.61,2.06,0.5
1907,pfiesja01,1.0,0.61,1.15,1.0
1907,brownmo01,0.0,0.77,1.39,1.0
1907,reulbed01,0.75,0.81,1.69,1.0
1907,overaor01,1.0,0.77,1.68,1.0
1907,donovbi01,1.71,0.86,2.19,0.0
1907,sieveed01,4.5,0.62,2.16,0.0
1907,mullige01,2.12,0.5,2.59,0.0
1908,brownmo01,0.0,0.76,1.47,1.0
1908,summeed01,4.3,0.67,1.64,0.0
1908,overaor01,0.98,0.58,1.92,1.0
1908,pfiesja01,7.88,0.55,2.0,0.0
1908,donovbi01,4.24,0.72,2.08,0.0
1908,mullige01,0.0,0.57,3.1,1.0
1909,adamsba01,1.33,0.8,1.11,1.0
1909,camniho01,13.5,0.81,1.62,0.0
1909,maddoni01,1.0,0.62,2.21,1.0
1909,mullige01,2.25,0.78,2.22,0.67
1909,willivi01,4.63,0.67,2.24,0.0
1909,donovbi01,3.0,0.53,2.31,0.5
1909,summeed01,8.59,0.68,2.24,0.0
1909,leifile01,11.25,0.7,2.37,0.0
1910,coombja01,3.33,0.78,1.3,1.0
1910,bendech01,1.93,0.82,1.58,0.5
1910,brownmo01,5.5,0.64,1.86,0.33
1910,overaor01,9.0,0.67,2.68,0.0
1910,mcintha01,6.75,0.59,3.07,0.0
1911,mathech01,2.0,0.67,1.99,0.33
1911,bendech01,1.04,0.77,2.16,0.67
1911,planked01,1.86,0.74,2.1,0.5
1911,marquru01,1.54,0.77,2.5,0.0
1911,cranddo01,0.0,0.75,2.63,1.0
1911,amesre01,2.25,0.52,2.68,0.0
1911,coombja01,1.35,0.7,3.53,1.0
1912,mathech01,0.94,0.66,2.12,0.0
1912,tesreje01,3.13,0.71,1.96,0.33
1912,woodjo02,4.5,0.87,1.91,0.75
1912,marquru01,0.5,0.7,2.57,1.0
1912,obriebu01,5.0,0.61,2.58,0.0
1912,bediehu01,0.5,0.69,2.92,1.0
1913,mathech01,0.95,0.69,2.06,0.5
1913,demaral01,4.5,0.76,2.21,0.0
1913,tesreje01,5.4,0.63,2.17,0.0
1913,bendech01,4.0,0.68,2.21,1.0
1913,planked01,0.95,0.64,2.6,0.5
1913,marquru01,7.0,0.7,2.5,0.0
1913,bushjo01,1.0,0.71,3.82,1.0
1914,jamesbi02,0.0,0.79,1.9,1.0
1914,rudoldi01,0.5,0.72,2.35,1.0
1914,bendech01,10.13,0.85,2.26,0.0
1914,shawkbo01,3.6,0.67,2.73,0.0
1914,planked01,1.0,0.68,2.87,0.0
1914,bushjo01,3.27,0.57,3.06,0.0
1915,alexape01,1.53,0.76,1.22,0.5
1915,shoreer01,2.12,0.7,1.64,0.5
1915,fosteru01,2.0,0.7,2.11,1.0
1915,leonadu01,1.0,0.68,2.36,1.0
1915,mayerer01,2.38,0.58,2.36,0.0
1915,rixeyep01,4.05,0.48,2.39,0.0
1915,chalmge01,2.25,0.47,2.48,0.0
1916,ruthba01,0.64,0.66,1.75,1.0
1916,marquru01,5.73,0.68,1.58,0.0
1916,pfeffje01,1.69,0.69,1.92,0.0
1916,smithsh01,1.35,0.58,2.34,0.0
1916,leonadu01,1.0,0.6,2.36,1.0
1916,maysca01,6.75,0.58,2.39,0.0
1916,shoreer01,1.53,0.62,2.63,1.0
1916,coombja01,4.26,0.62,2.66,1.0
1917,cicoted01,1.57,0.7,1.53,0.5
1917,anderfr01,18.0,0.5,1.44,0.0
1917,schupfe01,1.74,0.75,1.95,1.0
1917,faberre01,2.33,0.55,1.92,0.75
1917,sallesl01,5.28,0.72,2.17,0.0
1917,bentoru01,0.0,0.63,2.72,0.5
1918,vaughhi01,1.0,0.69,1.74,0.33
1918,tylerle01,1.17,0.7,2.0,0.5
1918,ruthba01,1.06,0.65,2.22,1.0
1918,douglph01,0.0,0.53,2.13,0.0
1918,maysca01,1.0,0.62,2.21,1.0
1918,bushjo01,3.0,0.5,2.11,0.0
1918,jonessa01,3.0,0.76,2.25,0.0
1919,ruethdu01,2.57,0.76,1.82,1.0
1919,cicoted01,2.91,0.81,1.82,0.33
1919,sallesl01,1.35,0.75,2.06,0.5
1919,ringji01,0.64,0.53,2.26,0.5
1919,fishera01,2.35,0.74,2.17,0.0
1919,ellerho01,2.0,0.68,2.39,1.0
1919,kerrdi01,1.42,0.65,2.88,1.0
1919,willile01,6.61,0.68,2.64,0.0
1920,mailsdu01,0.0,1.0,1.85,1.0
1920,smithsh01,0.53,0.55,1.85,0.5
1920,grimebu01,4.19,0.68,2.22,0.33
1920,covelst01,0.67,0.63,2.49,1.0
1920,cadorle01,9.0,0.52,2.62,0.0
1920,bagbyji01,1.8,0.72,2.89,0.5
1920,marquru01,3.0,0.59,3.23,0.0
1920,caldwra02,27.0,0.67,3.86,0.0
1921,hoytwa01,0.0,0.59,3.09,0.67
1921,maysca01,1.73,0.75,3.05,0.33
1921,barneje01,1.65,0.63,3.1,1.0
1921,nehfar01,1.38,0.67,3.63,0.33
1921,quinnja01,9.82,0.53,3.78,0.0
1921,douglph01,2.08,0.6,4.22,0.67
1921,shawkbo01,7.0,0.6,4.08,0.0
1922,scottja01,0.0,0.8,6.71,1.0
1922,mcquihu01,3.0,0.42,4.03,1.0
1922,ryanro01,0.0,0.59,3.01,1.0
1922,nehfar01,2.25,0.59,3.29,1.0
1922,hoytwa01,1.13,0.61,3.43,0.0
1922,bushjo01,4.8,0.79,3.31,0.0
1922,maysca01,4.5,0.46,3.6,0.0
1923,pennohe01,3.63,0.76,3.13,1.0
1923,bushjo01,1.08,0.56,3.43,0.5
1923,mcquihu01,5.0,0.52,3.41,0.0
1923,ryanro01,3.86,0.76,3.49,1.0
1923,shawkbo01,3.52,0.59,3.51,1.0
1923,jonessa01,0.9,0.72,3.63,0.0
1923,scottja01,12.0,0.7,3.89,0.0
1923,nehfar01,2.76,0.57,4.5,0.5
1923,bentlja01,9.45,0.62,4.48,0.0
1924,mcquihu01,2.57,0.64,2.69,1.0
1924,zachato01,2.04,0.63,2.75,1.0
1924,johnswa01,3.0,0.77,2.72,0.33
1924,marbefi01,1.13,0.48,3.09,0.0
1924,barnevi01,5.68,0.62,3.06,0.0
1924,nehfar01,1.83,0.78,3.62,0.5
1924,mogrige01,2.25,0.59,3.76,1.0
1924,bentlja01,3.18,0.76,3.78,0.33
1925,fergual01,3.21,0.64,7.32,0.5
1925,covelst01,3.77,0.8,2.84,0.0
1925,johnswa01,2.08,0.74,3.07,0.67
1925,kremera01,3.0,0.68,3.69,0.67
1925,meadole01,3.38,0.66,3.67,0.0
1925,aldrivi01,4.42,0.68,3.63,1.0
1925,ydeem01,11.57,0.65,4.13,0.0
1926,alexape01,1.33,0.55,3.19,1.0
1926,ruethdu01,4.15,0.61,4.17,0.0
1926,haineje01,1.08,0.76,3.25,1.0
1926,sherdbi01,2.12,0.57,3.49,0.0
1926,pennohe01,1.23,0.68,3.62,1.0
1926,shockur01,5.87,0.63,3.38,0.0
1926,hoytwa01,1.2,0.57,3.85,0.5
1926,shawkbo01,5.4,0.53,3.62,0.0
1926,reinhar01,,0.67,4.22,0.0
1927,miljujo01,1.35,0.73,1.9,0.0
1927,moorewi01,0.84,0.73,2.28,1.0
1927,kremera01,3.6,0.7,2.47,0.0
1927,hoytwa01,4.91,0.76,2.63,1.0
1927,pennohe01,1.0,0.7,3.0,1.0
1927,meadole01,9.95,0.66,3.4,0.0
1927,pipgrge01,2.0,0.77,4.11,1.0
1927,aldrivi01,7.36,0.6,4.25,0.0
1928,zachato01,3.0,0.43,4.69,1.0
1928,sherdbi01,4.73,0.68,2.86,0.0
1928,haineje01,4.5,0.71,3.18,0.0
1928,hoytwa01,1.5,0.77,3.36,1.0
1928,pipgrge01,2.0,0.65,3.38,1.0
1928,alexape01,19.8,0.64,3.36,0.0
1929,rommeed01,9.0,0.86,2.85,1.0
1929,ehmkeho01,1.42,0.78,3.29,1.0
1929,earnsge01,2.63,0.75,3.29,0.5
1929,walberu01,0.0,0.62,3.6,1.0
1929,rootch01,4.73,0.76,3.47,0.0
1929,bushgu01,0.82,0.72,3.66,1.0
1929,malonpa02,4.15,0.69,3.57,0.0
1929,blakesh01,,0.52,4.29,0.0
1930,grimebu01,3.71,0.59,5.18,0.0
1930,grovele01,1.42,0.85,2.54,0.67
1930,haineje01,1.0,0.62,4.3,1.0
1930,earnsge01,0.72,0.63,4.44,1.0
1930,hallabi01,1.64,0.63,4.66,0.5
1930,rhemfl01,10.8,0.6,4.45,0.0
1930,walberu01,3.86,0.52,4.69,0.0
1931,grovele01,2.42,0.89,2.06,0.67
1931,hoytwa01,4.5,0.5,5.05,0.0
1931,johnssy01,3.0,0.55,3.0,0.0
1931,hallabi01,0.49,0.68,3.29,1.0
1931,derripa01,4.26,0.69,3.36,0.0
1931,grimebu01,2.04,0.65,3.65,1.0
1931,earnsge01,1.88,0.75,3.67,0.33
1932,moorewi01,0.0,0.38,3.88,1.0
1932,warnelo01,5.91,0.79,2.37,0.0
1932,ruffire01,3.0,0.72,3.09,1.0
1932,bushgu01,14.29,0.63,3.21,0.0
1932,rootch01,10.38,0.6,3.58,0.0
1932,gomezle01,1.0,0.77,4.21,1.0
1932,pipgrge01,4.5,0.64,4.19,1.0
1932,mayja01,11.57,0.5,4.36,0.0
1933,hubbeca01,0.0,0.66,1.66,1.0
1933,schumha02,2.45,0.61,2.16,1.0
1933,russeja01,0.87,0.67,2.69,0.0
1933,luquedo01,0.0,0.8,2.69,1.0
1933,fitzsfr01,5.14,0.59,2.9,0.0
1933,weavemo01,1.74,0.67,3.25,0.0
1933,whiteea01,0.0,0.73,3.33,1.0
1933,stewale01,9.0,0.71,3.82,0.0
1933,crowdal01,7.36,0.62,3.97,0.0
1934,deandi01,1.73,0.81,2.66,0.67
1934,crowdal01,1.5,0.45,5.49,0.0
1934,deanpa01,1.0,0.63,3.43,1.0
1934,walkebi01,7.11,0.75,3.12,0.0
1934,rowesc01,2.95,0.75,3.45,0.5
1934,aukerel01,5.56,0.68,3.42,0.5
1934,bridgto01,3.63,0.67,3.67,0.5
1935,warnelo01,0.54,0.61,3.06,1.0
1935,frencla01,3.38,0.63,2.96,0.0
1935,rootch01,,0.65,3.08,0.0
1935,bridgto01,2.5,0.68,3.51,1.0
1935,rowesc01,2.57,0.59,3.69,0.33
1935,carlete01,1.29,0.58,3.89,0.0
1935,crowdal01,1.0,0.62,4.26,1.0
1936,hubbeca01,2.25,0.81,2.31,0.5
1936,fitzsfr01,5.4,0.59,3.32,0.0
1936,schumha02,5.25,0.46,3.47,0.5
1936,pearsmo01,2.0,0.73,3.71,1.0
1936,malonpa02,1.8,0.75,3.81,0.0
1936,ruffire01,5.14,0.63,3.85,0.0
1936,hadlebu01,1.13,0.78,4.35,1.0
1936,gomezle01,4.7,0.65,4.39,1.0
1937,gomezle01,1.5,0.66,2.33,1.0
1937,meltocl01,4.91,0.69,2.61,0.0
1937,ruffire01,1.0,0.74,2.98,1.0
1937,pearsmo01,1.04,0.75,3.17,1.0
1937,hubbeca01,3.77,0.73,3.2,0.5
1937,schumha02,6.0,0.52,3.6,0.0
1937,hadlebu01,33.75,0.58,5.3,0.0
1938,deandi01,6.48,0.88,1.81,0.0
1938,leebi02,2.45,0.71,2.66,0.0
1938,bryancl01,6.75,0.63,3.1,0.0
1938,ruffire01,1.5,0.75,3.31,1.0
1938,gomezle01,3.86,0.6,3.35,1.0
1938,pearsmo01,1.0,0.7,3.97,1.0
1939,waltebu01,4.91,0.71,2.29,0.0
1939,ruffire01,1.0,0.75,2.93,1.0
1939,thompju01,13.5,0.72,2.54,0.0
1939,derripa01,2.35,0.78,2.93,0.0
1939,hadlebu01,2.25,0.67,2.98,1.0
1939,pearsmo01,0.0,0.71,4.49,1.0
1939,murphjo04,2.7,0.33,4.4,1.0
1940,waltebu01,1.5,0.69,2.48,1.0
1940,newsobo01,1.38,0.81,2.83,0.67
1940,turneji01,7.5,0.67,2.89,0.0
1940,derripa01,2.79,0.63,3.06,0.67
1940,bridgto01,3.0,0.57,3.37,1.0
1940,thompju01,16.2,0.64,3.32,0.0
1940,rowesc01,17.18,0.84,3.46,0.0
1940,troutdi01,9.0,0.3,4.47,0.0
1941,murphjo04,0.0,0.73,1.98,1.0
1941,wyattwh01,2.5,0.69,2.34,0.5
1941,bonhati01,1.0,0.6,2.98,1.0
1941,russoma01,1.0,0.58,3.09,1.0
1941,daviscu01,5.06,0.65,2.97,0.0
1941,chandsp01,3.6,0.71,3.19,0.0
1941,ruffire01,1.0,0.71,3.54,1.0
1941,caseyhu01,3.38,0.56,3.89,0.0
1942,coopemo01,5.54,0.76,1.78,0.0
1942,beazljo01,2.5,0.78,2.13,1.0
1942,chandsp01,1.08,0.76,2.38,0.0
1942,bonhati01,4.09,0.81,2.27,0.0
1942,whiteer01,0.0,0.58,2.52,1.0
1942,laniema01,0.0,0.62,2.96,1.0
1942,donalat01,6.0,0.79,3.11,0.0
1942,ruffire01,4.08,0.67,3.21,0.5
1943,chandsp01,0.5,0.83,1.64,1.0
1943,brazlal01,3.68,0.8,1.53,0.0
1943,laniema01,1.76,0.68,1.9,0.0
1943,brechha01,2.45,0.6,2.26,0.0
1943,coopemo01,2.81,0.72,2.3,0.5
1943,bonhati01,4.5,0.65,2.27,0.0
1943,borowha01,2.25,0.61,2.82,1.0
1943,russoma01,0.0,0.33,3.72,1.0
1944,donnebl01,0.0,0.67,2.12,1.0
1944,coopemo01,1.13,0.76,2.46,0.5
1944,krameja01,0.0,0.57,2.49,1.0
1944,laniema01,2.19,0.59,2.65,1.0
1944,wilkste01,5.68,0.81,2.64,0.0
1944,pottene01,0.93,0.73,2.83,0.0
1944,brechha01,1.0,0.76,2.85,1.0
1944,galehde01,1.5,0.47,3.12,0.5
1944,muncrbo01,1.35,0.62,3.08,0.0
1944,jakucsi01,9.0,0.59,3.55,0.0
1945,borowha01,,0.75,2.63,0.5
1945,newhoha01,6.1,0.74,1.81,0.67
1945,passecl01,2.7,0.65,2.46,1.0
1945,primra01,9.0,0.62,2.4,0.0
1945,wyseha01,7.04,0.69,2.68,0.0
1945,truckvi01,3.38,,1.69,1.0
1945,troutdi01,0.66,0.55,3.14,0.5
1945,overmst01,3.0,0.5,3.88,0.0
1946,polleho01,3.48,0.68,2.1,0.0
1946,brechha01,0.45,0.5,2.49,1.0
1946,klingbo01,13.5,0.6,2.37,0.0
1946,hughste01,3.14,0.65,2.75,0.0
1946,dicksmu01,3.86,0.71,2.88,0.0
1946,mungere01,1.0,0.5,3.33,1.0
1946,dobsojo01,0.0,0.65,3.24,1.0
1946,ferrida01,2.03,0.81,3.25,1.0
1946,brazlal01,5.4,0.52,3.29,0.0
1946,harrimi01,3.72,0.65,3.64,0.0
1947,newsobo01,19.29,0.5,3.45,0.0
1947,pagejo01,4.15,0.64,2.48,0.5
1947,brancra01,8.64,0.64,2.67,0.5
1947,sheasp01,2.35,0.74,3.07,1.0
1947,reynoal01,4.76,0.7,3.2,1.0
1947,lombavi01,12.15,0.52,2.99,0.0
1947,caseyhu01,0.87,0.71,3.99,1.0
1947,bevenbi01,2.38,0.35,3.82,0.0
1947,barnere02,2.7,0.71,4.75,0.0
1947,greggha01,3.55,0.44,5.87,0.0
1948,beardge01,0.0,0.74,2.43,1.0
1948,sainjo01,1.06,0.62,2.6,0.5
1948,gromest01,1.0,0.75,2.84,1.0
1948,lemonbo01,1.65,0.59,2.82,1.0
1948,bickfve01,2.7,0.69,3.27,0.0
1948,voisebi01,2.53,0.5,3.63,0.0
1948,fellebo01,5.02,0.56,3.56,0.0
1948,spahnwa01,3.0,0.56,3.71,0.5
1949,pagejo01,2.0,0.62,2.59,1.0
1949,roepr01,0.0,0.71,2.79,1.0
1949,newcodo01,3.09,0.68,3.17,0.0
1949,lopated01,6.35,0.6,3.26,1.0
1949,raschvi01,4.3,0.68,3.34,0.5
1949,reynoal01,0.0,0.74,4.0,1.0
1949,brancra01,4.15,0.72,4.39,0.0
1949,barnere02,16.88,0.53,4.41,0.0
1950,ferrito01,0.0,0.56,3.89,1.0
1950,fordwh01,0.0,0.9,2.81,1.0
1950,konstji01,2.4,0.7,2.66,0.0
1950,roberro01,1.64,0.65,3.02,0.0
1950,millebo02,27.0,0.65,3.57,0.0
1950,reynoal01,0.87,0.57,3.74,1.0
1950,raschvi01,0.0,0.72,4.0,1.0
1950,meyerru01,5.4,0.45,5.3,0.0
1951,lopated01,0.5,0.7,2.91,1.0
1951,maglisa01,7.2,0.79,2.93,0.0
1951,reynoal01,4.2,0.68,3.05,0.5
1951,jansela01,6.3,0.68,3.04,0.0
1951,raschvi01,0.87,0.68,3.27,0.5
1951,kosloda01,3.0,0.53,3.31,0.5
1951,hearnji01,1.04,0.65,3.62,1.0
1952,reynoal01,1.77,0.71,2.06,0.67
1952,blackjo02,2.53,0.79,2.15,0.33
1952,lopated01,4.76,0.67,2.53,0.0
1952,raschvi01,1.59,0.73,2.78,1.0
1952,loesbi01,4.35,0.62,2.69,0.0
1952,erskica01,4.5,0.7,2.7,0.5
1952,roepr01,3.18,0.85,3.12,1.0
1952,sainjo01,3.0,0.65,3.46,0.0
1953,lopated01,2.0,0.8,2.42,1.0
1953,labincl01,3.6,0.65,2.77,0.0
1953,sainjo01,4.76,0.67,3.0,1.0
1953,fordwh01,4.5,0.75,3.0,0.0
1953,raschvi01,3.38,0.68,3.33,0.0
1953,reynoal01,6.75,0.65,3.41,1.0
1953,erskica01,5.79,0.77,3.54,1.0
1953,mcdonji04,5.87,0.56,3.82,1.0
1953,podrejo01,3.38,0.69,4.23,0.0
1953,roepr01,4.5,0.79,4.36,0.0
1954,antonjo02,0.84,0.75,2.3,1.0
1954,grissma01,0.0,0.59,2.35,1.0
1954,garcimi01,5.4,0.7,2.64,0.0
1954,wynnea01,3.86,0.68,2.73,0.0
1954,gomezru01,2.45,0.65,2.88,1.0
1954,lemonbo01,6.75,0.77,2.72,0.0
1954,liddldo01,1.29,0.69,3.06,1.0
1955,fordwh01,2.12,0.72,2.63,1.0
1955,craigro01,3.0,0.63,2.78,1.0
1955,byrneto01,1.88,0.76,3.15,0.5
1955,turlebo01,8.44,0.57,3.06,0.0
1955,labincl01,2.89,0.72,3.24,1.0
1955,newcodo01,9.53,0.8,3.2,0.0
1955,larsedo01,11.25,0.82,3.06,0.0
1955,podrejo01,1.0,0.47,3.95,1.0
1955,loesbi01,9.82,0.71,3.59,0.0
1955,spoonka01,13.5,0.57,3.65,0.0
1956,maglisa01,2.65,0.72,3.24,0.5
1956,bessedo01,1.8,0.57,2.5,1.0
1956,fordwh01,5.25,0.76,2.47,0.5
1956,labincl01,0.0,0.63,3.35,1.0
1956,larsedo01,0.0,0.69,3.26,1.0
1956,sturdto01,2.79,0.67,3.3,1.0
1956,newcodo01,21.21,0.79,3.06,0.0
1956,kucksjo01,,0.67,3.85,1.0
1956,craigro01,,0.52,3.71,0.0
1956,erskica01,5.4,0.54,4.25,0.0
1957,fordwh01,1.13,0.69,2.57,0.5
1957,shantbo01,4.05,0.69,2.45,0.0
1957,turlebo01,2.31,0.68,2.71,1.0
1957,grimbo01,7.71,0.6,2.63,0.0
1957,spahnwa01,4.7,0.66,2.69,0.5
1957,buhlbo01,10.8,0.72,2.74,0.0
1957,burdele01,0.67,0.65,3.72,1.0
1957,johnser02,1.29,0.7,3.88,0.0
1957,larsedo01,3.72,0.71,3.74,0.5
1958,durenry01,1.93,0.6,2.02,0.5
1958,fordwh01,4.11,0.67,2.01,0.0
1958,larsedo01,0.96,0.6,3.07,1.0
1958,turlebo01,2.76,0.75,2.97,0.67
1958,spahnwa01,2.2,0.67,3.07,0.67
1958,burdele01,5.64,0.67,2.91,0.33
1958,rushbo01,3.0,0.63,3.42,0.0
1959,sherrla01,0.71,0.78,2.19,1.0
1959,stalege01,2.16,0.62,2.24,0.0
1959,craigro01,8.68,0.69,2.06,0.0
1959,shawbo01,2.57,0.75,2.69,0.5
1959,wynnea01,5.54,0.69,3.17,0.5
1959,drysddo01,1.29,0.57,3.46,1.0
1959,donovdi01,,0.47,3.66,0.0
1959,koufasa01,1.0,0.57,4.05,0.0
1959,podrejo01,4.82,0.61,4.11,1.0
1960,mizelvi01,15.43,0.64,3.84,0.0
1960,fordwh01,0.0,0.57,3.08,1.0
1960,lawve01,3.44,0.69,3.08,1.0
1960,ditmaar01,21.6,0.63,3.06,0.0
1960,frienbo01,,0.6,3.0,0.0
1960,turlebo01,4.82,0.75,3.27,1.0
1960,terryra01,5.4,0.56,3.4,0.0
1960,haddiha01,2.45,0.52,3.97,1.0
1961,daleybu01,0.0,0.41,4.46,1.0
1961,arroylu01,2.25,0.75,2.19,1.0
1961,fordwh01,0.0,0.86,3.21,1.0
1961,otoolji01,3.0,0.68,3.1,0.0
1961,terryra01,4.82,0.84,3.15,0.0
1961,jayjo01,5.59,0.68,3.53,0.5
1961,purkebo01,1.64,0.57,3.73,0.0
1962,fordwh01,4.12,0.68,2.9,0.5
1962,terryra01,1.8,0.66,3.19,0.67
1962,sanfoja02,1.93,0.77,3.43,0.33
1962,piercbi02,2.4,0.73,3.49,0.5
1962,odellbi01,4.38,0.58,3.53,0.0
1962,staffbi01,2.0,0.61,3.67,1.0
1962,larsedo01,3.86,0.56,4.38,1.0
1962,coateji01,6.75,0.54,4.44,0.0
1963,koufasa01,1.5,0.83,1.88,1.0
1963,boutoji01,1.29,0.75,2.53,0.0
1963,drysddo01,0.0,0.53,2.63,1.0
1963,downial01,5.4,0.72,2.56,0.0
1963,fordwh01,4.5,0.77,2.74,0.0
1963,podrejo01,1.08,0.54,3.54,1.0
1964,stottme01,3.15,0.75,2.06,0.5
1964,fordwh01,8.44,0.74,2.13,0.0
1964,schulba01,,0.25,1.64,0.0
1964,boutoji01,1.56,0.58,3.02,1.0
1964,gibsobo01,3.0,0.61,3.01,0.67
1964,craigro01,0.0,0.44,3.25,1.0
1964,simmocu01,2.51,0.67,3.43,0.0
1964,downial01,,0.62,3.47,0.0
1964,mikkepe01,5.79,0.64,3.56,0.0
1964,sadecra01,8.53,0.65,3.68,1.0
1965,koufasa01,0.38,0.76,2.04,0.67
1965,osteecl01,0.64,0.5,2.79,0.5
1965,drysddo01,3.86,0.66,2.77,0.5
1965,kaatji01,3.77,0.62,2.83,0.33
1965,grantmu01,2.74,0.75,3.3,0.67
1965,pascuca02,5.4,0.75,3.35,0.0
1966,koufasa01,1.5,0.75,1.73,0.0
1966,drabomo01,0.0,1.0,2.81,1.0
1966,osteecl01,1.29,0.55,2.85,0.0
1966,mcnalda01,1.59,0.68,3.17,1.0
1966,palmeji01,0.0,0.6,3.46,1.0
1966,drysddo01,4.5,0.45,3.42,0.0
1966,bunkewa01,0.0,0.63,4.29,1.0
1967,lamabja01,6.75,0.36,2.87,0.0
1967,bellga01,5.06,0.5,3.44,0.0
1967,brilene01,1.64,0.74,2.43,1.0
1967,wyattjo02,4.91,0.59,2.6,1.0
1967,gibsobo01,1.0,0.65,2.98,1.0
1967,hughedi01,5.0,0.73,2.67,0.0
1967,carltst01,0.0,0.61,2.98,0.0
1967,lonboji01,2.63,0.71,3.16,0.67
1967,santijo02,5.59,0.75,3.59,0.0
1968,gibsobo01,1.67,0.71,1.12,0.67
1968,hoernjo01,,0.8,1.48,0.0
1968,mclaide01,3.24,0.84,1.96,0.33
1968,washbra01,9.82,0.64,2.26,0.5
1968,wilsoea01,6.23,0.52,2.85,0.0
1968,brilene01,5.56,0.63,2.81,0.0
1968,lolicmi01,1.67,0.65,3.19,1.0
1969,watted01,1.5,0.71,1.65,0.0
1969,halldi01,0.0,0.71,1.92,0.5
1969,seaveto01,4.72,0.78,2.21,0.67
1969,perraro01,,0.47,2.11,0.0
1969,koosmje01,6.81,0.65,2.28,1.0
1969,cuellmi01,1.69,0.68,2.38,1.0
1969,palmeji01,4.0,0.8,2.34,0.5
1969,tayloro01,0.0,0.69,2.72,1.0
1969,niekrph01,4.5,0.64,2.56,0.0
1969,mcnalda01,1.41,0.74,3.22,0.5
1970,wilcomi01,4.5,0.75,2.42,0.5
1970,carrocl02,0.0,0.69,2.59,1.0
1970,palmeji01,2.8,0.67,2.71,1.0
1970,hallto01,6.75,0.65,2.55,0.0
1970,halldi01,0.0,0.67,3.08,1.0
1970,walkelu01,1.29,0.71,3.04,0.0
1970,phoebto01,0.0,0.5,3.07,1.0
1970,mcnalda01,3.0,0.73,3.22,1.0
1970,nolanga01,3.86,0.72,3.27,0.5
1970,ellisdo01,2.79,0.57,3.21,0.0
1971,millebo04,4.93,0.62,2.61,0.0
